mes_disp,uf,enquadramento,sum,count
202006,MS,CADUNICO,38986800.0,57712
202006,MS,EXTRACAD,133501800.0,200412
202006,MT,BOLSA FAMILIA,167102400.0,196359
202006,MT,CADUNICO,47516400.0,69983
202006,MT,EXTRACAD,185146200.0,276372
202006,PA,BOLSA FAMILIA,1085665200.0,1375419
202006,PA,CADUNICO,107502600.0,160092
202006,PA,EXTRACAD,343984800.0,529915
202006,PB,BOLSA FAMILIA,559593600.0,739564
202006,PB,CADUNICO,42651000.0,65061
202006,PB,EXTRACAD,138472200.0,217060
202006,PE,BOLSA FAMILIA,1240916400.0,1565550
202006,PE,CADUNICO,118513200.0,178345
202006,PE,EXTRACAD,355451400.0,549922
202006,PI,BOLSA FAMILIA,492470400.0,657447
202006,PI,CADUNICO,36342600.0,55610
202006,PI,EXTRACAD,114571200.0,178941
202006,PR,BOLSA FAMILIA,384610200.0,487288
202006,PR,CADUNICO,130071600.0,195898
202006,PR,EXTRACAD,555356400.0,850138
202006,RJ,BOLSA FAMILIA,996622800.0,1179214
202006,RJ,CADUNICO,132397800.0,191057
202006,RJ,EXTRACAD,1029660600.0,1566140
202006,RN,BOLSA FAMILIA,399190800.0,523175
202006,RN,CADUNICO,44122200.0,67917
202006,RN,EXTRACAD,132908400.0,203094
202006,RO,BOLSA FAMILIA,91026600.0,114043
202006,RO,CADUNICO,25174800.0,37955
202006,RO,EXTRACAD,97844400.0,146685
202006,RR,BOLSA FAMILIA,56108400.0,71530
202006,RR,CADUNICO,7747800.0,11141
202006,RR,EXTRACAD,34746000.0,51574
202006,RS,BOLSA FAMILIA,362673000.0,435876
202006,RS,CADUNICO,76217400.0,111640
202006,RS,EXTRACAD,505378200.0,758971
202006,SC,BOLSA FAMILIA,122535600.0,153051
202006,SC,CADUNICO,37164600.0,54702
202006,SC,EXTRACAD,361965600.0,542859
202006,SE,BOLSA FAMILIA,303901800.0,384273
202006,SE,CADUNICO,29270400.0,44015
202006,SE,EXTRACAD,81582600.0,126250
202006,SP,BOLSA FAMILIA,1617167400.0,1937308
202006,SP,CADUNICO,393096000.0,572262
202006,SP,EXTRACAD,2364760200.0,3601915
202006,TO,BOLSA FAMILIA,128770800.0,165642
202006,TO,CADUNICO,22819200.0,34949
202006,TO,EXTRACAD,57412800.0,88000
202007,AC,BOLSA FAMILIA,104402400.0,140444
202007,AC,CADUNICO,24691800.0,36662
202007,AC,EXTRACAD,81500400.0,124701
202007,AL,BOLSA FAMILIA,440793600.0,555049
202007,AL,CADUNICO,110665200.0,165773
202007,AL,EXTRACAD,284550000.0,436446
202007,AM,BOLSA FAMILIA,468370200.0,594214
202007,AM,CADUNICO,123634200.0,179698
202007,AM,EXTRACAD,431610000.0,652091
202007,AP,BOLSA FAMILIA,90600600.0,105710
202007,AP,CADUNICO,33207000.0,46074
202007,AP,EXTRACAD,97725000.0,146578
202007,BA,BOLSA FAMILIA,1971532800.0,2582209
202007,BA,CADUNICO,573756000.0,870258
202007,BA,EXTRACAD,1274056800.0,1975832
202007,CE,BOLSA FAMILIA,1193693400.0,1576743
202007,CE,CADUNICO,371486400.0,570526
202007,CE,EXTRACAD,714193200.0,1109694
202007,DF,BOLSA FAMILIA,88061400.0,100981
202007,DF,CADUNICO,40176000.0,56522
202007,DF,EXTRACAD,352549800.0,523493
202007,ES,BOLSA FAMILIA,206327400.0,263067
202007,ES,CADUNICO,140636400.0,214946
202007,ES,EXTRACAD,446274600.0,682350
202007,GO,BOLSA FAMILIA,322652400.0,380406
202007,GO,CADUNICO,240714000.0,354152
202007,GO,EXTRACAD,851095800.0,1287960
202007,MA,BOLSA FAMILIA,1033197600.0,1309522
202007,MA,CADUNICO,229561800.0,345480
202007,MA,EXTRACAD,535276800.0,840225
202007,MG,BOLSA FAMILIA,1114752600.0,1433580
202007,MG,CADUNICO,707818800.0,1077373
202007,MG,EXTRACAD,2070539400.0,3196741
202007,MS,BOLSA FAMILIA,132504000.0,159440
202007,MS,CADUNICO,120041400.0,177863
202007,MS,EXTRACAD,278088000.0,415913
202007,MT,BOLSA FAMILIA,167106600.0,196528
202007,MT,CADUNICO,151602000.0,223706
202007,MT,EXTRACAD,395446200.0,588285
202007,PA,BOLSA FAMILIA,1087339800.0,1378090
202007,PA,CADUNICO,350195400.0,521296
202007,PA,EXTRACAD,794736000.0,1222032
202007,PB,BOLSA FAMILIA,553589400.0,732243
202007,PB,CADUNICO,129108600.0,196895
202007,PB,EXTRACAD,311695200.0,487974
202007,PE,BOLSA FAMILIA,1236856200.0,1561087
202007,PE,CADUNICO,364411200.0,547533
202007,PE,EXTRACAD,814873800.0,1261536
202007,PI,BOLSA FAMILIA,492100200.0,657180
202007,PI,CADUNICO,114281400.0,174529
202007,PI,EXTRACAD,262098600.0,409354
202007,PR,BOLSA FAMILIA,382908000.0,485472
202007,PR,CADUNICO,407117400.0,612858
202007,PR,EXTRACAD,1137112200.0,1733676
202007,RJ,BOLSA FAMILIA,991880400.0,1174443
202007,RJ,CADUNICO,398010600.0,574602
202007,RJ,EXTRACAD,2181889200.0,3305707
202007,RN,BOLSA FAMILIA,396436800.0,519820
202007,RN,CADUNICO,133853400.0,205972
