mes_ref,uf,valor_bolsa_familia,valor_cadunico,valor_extracad,qtd_bolsa_familia,qtd_cadunico,qtd_extracad,total_forca_trabalho,forca_trabalho_descoupada,forca_conta_propria,forca_privado,forca_publico,forca_empregador,forca_domestico,forca_auxiliar
202009,DF,27258145.0,36759600.0,385368000.0,85586,53732,585460,1581,248,273,608,319,58,67,8
202009,ES,63389844.0,127717200.0,490708800.0,230026,202849,766605,2086,296,477,819,239,81,87,89
202009,GO,102806218.0,216018900.0,923232300.0,324464,329293,1425461,3541,479,776,1514,413,146,192,22
202009,MA,286264019.0,205806600.0,552736800.0,1091867,322619,891640,2410,417,664,752,343,56,121,55
202009,MG,332450948.0,631359000.0,2244605526.0,1230876,996922,3539534,10605,1443,2177,4557,1191,430,578,228
202009,MS,40588199.0,110747700.0,306740400.0,134332,170587,469195,1329,157,266,555,184,68,86,13
202009,MT,52120158.0,136461900.0,429061200.0,165521,209001,651808,1780,181,438,754,209,72,92,34
202009,PA,314016462.0,311845200.0,831172200.0,1164708,482491,1309896,3706,413,1041,1258,469,126,189,211
202009,PB,159605982.0,118378200.0,327413200.0,647960,187651,524834,1514,262,386,467,263,46,66,25
202009,PE,384149674.0,348982800.0,895468980.0,1393776,545898,1421465,3678,709,859,1388,405,118,147,52
202009,PI,137235010.0,103278900.0,274134000.0,573942,164602,439522,1319,174,345,422,189,39,79,70
202009,PR,121002656.0,370386300.0,1262431140.0,422286,579618,1964342,5851,617,1324,2609,649,288,250,114
202009,RJ,295666796.0,364122600.0,2350786160.0,1004898,545971,3645191,8104,1567,1748,3081,1066,244,374,25
202009,RN,120048046.0,123191700.0,314668500.0,463681,196871,491076,1405,251,312,497,214,47,67,17
202009,RO,30019610.0,72789300.0,223932900.0,100715,114013,341124,816,96,229,296,109,18,31,37
202009,RR,15032201.0,22355400.0,78311400.0,56908,33316,118222,236,45,56,62,51,5,14,4
202009,RS,129897107.0,242431800.0,1253401250.0,396088,370902,1926260,5711,601,1310,2465,644,278,257,158
202009,SC,39731934.0,109894500.0,845184680.0,132060,167981,1289253,3784,253,861,1880,385,192,121,93
202009,SE,93411250.0,81200400.0,194634600.0,337504,126770,308474,990,206,219,350,119,32,40,24
202009,SP,497858118.0,1106413200.0,5470781700.0,1661250,1673040,8485426,23411,3613,4320,11245,2041,1073,958,161
202009,TO,37518747.0,69610800.0,141480300.0,140417,110496,221782,671,84,151,213,133,29,42,18
202010,AC,23889390.0,10010100.0,55470900.0,109432,29577,119605,358,57,96,106,68,10,15,7
